Datetime,Text
2022-05-30 06:40:01+00:00,"Top 🔟 GAINING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
Show More https://t.co/Wd1UnIOBEG https://t.co/hb71TNrCQv"
2022-05-30 06:40:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIOBEG https://t.co/sazA9mWJtY"
2022-05-30 06:39:28+00:00,"Order successful!

LAND Coordinates: [-45, -115]
Price: 3,400 $MANA ($3,546.2 USD = 1.8447 $ETH)

Purchased by https://t.co/XfSUPs9Qdp from https://t.co/fz1ST7V6ey

https://t.co/1qJWukE9gg #decentraland #land #parcel #estate #mana https://t.co/QRqilBDEde"
2022-05-30 06:34:28+00:00,$MANA trade did profit 142.21136% after CoinASTROvip aleerts. #MANA https://t.co/psUgiHC2A0
2022-05-30 06:30:10+00:00,"✨ #MANA 
💵 Current Price: 1.0459 
📱 Look other coin infos with our app: https://t.co/vNpxF6rnmg https://t.co/OiaCCWiSah"
2022-05-30 06:24:03+00:00,17.85% profit of $MANA-USD: My target is to buy MORE #MANA-USD at $1.009 if less than what I bought last time to reduce the impact of volatility on the overall purchase and sell it ALL at $1.228. CLICK https://t.co/zo4bKoppmL to track. #MANAbyTorshis
2022-05-30 06:20:25+00:00,Bu tarz analizler hoşunuza gidiyor mu ? #btc #luna #eth #rose #tlm #mana #sand #lunc https://t.co/orpyvJsp8c
2022-05-30 06:20:02+00:00,"Top 🔟 GAINING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
Show More https://t.co/Wd1UnIOBEG https://t.co/KvJk4JNp5n"
2022-05-30 06:20:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIOBEG https://t.co/atxvNUnIJi"
2022-05-30 06:17:14+00:00,"[BUY SIGNAL] 🚀
MANAUSDT (1d) Bullish divergence with 3 interval confirmations

$MANA #MANA"
2022-05-30 06:15:04+00:00,"🗡 MANAUSD 15m #MACD Cross Up 📈 - Open (1.028), Close (1.041), High (1.043), Low (1.027), Volume (140324.78000000003) $MANAUSD #MANAUSD $MANA #MANA #decentraland https://t.co/ZJCjHDmnhY"
2022-05-30 06:13:52+00:00,"RSI yükselen kama yükseliş trendi için bu haftaya artık onay vermeli☘️ 

#bitcoin #sand #mana #raca #rune #dydx https://t.co/0roYGVnYuA"
2022-05-30 06:03:30+00:00,"maid mana🥺
#malicemizer #mana https://t.co/6KAl3F9YYr"
2022-05-30 06:00:33+00:00,@CryptoBusy #MANA best Metaverse cryptic🙏
2022-05-30 06:00:02+00:00,"Top 🔟 GAINING cryptocurrency this hour
1. $MANA or #MANA
Show More https://t.co/Wd1UnIOBEG https://t.co/UvzuJEtnvt"
2022-05-30 06:00:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIOBEG https://t.co/3EmfKkq5yC"
2022-05-30 05:42:39+00:00,"$MANA as per my plan green
#Mana #Decentraland #cryptocurrency #Crypto https://t.co/PZFfjWYPdi https://t.co/RTx9p7LcQA"
2022-05-30 05:42:02+00:00,19.46% profit of $MANA-USD: My target is to buy MORE #MANA-USD at $0.989 if less than what I bought last time to reduce the impact of volatility on the overall purchase and sell it ALL at $1.228. CLICK https://t.co/zo4bKoppmL to track. #MANAbyTorshis
2022-05-30 05:40:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIOBEG https://t.co/kb7S3l1tXy"
2022-05-30 05:31:58+00:00,"[BUY SIGNAL] 🚀
MANAUSDT (1d) Bullish divergence with 3 interval confirmations

$MANA #MANA"
2022-05-30 05:20:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIOBEG https://t.co/uGUQLY8yYi"
2022-05-30 05:19:55+00:00,"💎 #Decentraland  MANA 💎 Why I am Buying Now - #MANA crypto price prediction
I will explain Why I am Buying @decentraland $MANA #tokens right now. And what is my strategy and MANA crypto price prediction for the next #bullrun
https://t.co/I5XYSe5nha"
2022-05-30 05:16:11+00:00,"Zamanlama güzel oldu sanki umarım faydalanan olmuştur :) en az yükselen bile %10 yaptı.

#enj #avax #ada #matic #mana #xtz #rose #btc #bitcoin #Ethereum #eth"
2022-05-30 05:13:54+00:00,Btc nin azıcık yükselmesi ülkemiz adına süper oldu. Fenocuklar günlerdir atamadıkları roketleri şimdi atarlar. Aksi taktirde ceplerinde taşıdıkları roketlerle birlikte patlatlardı. #bitcoin #avax #aave #mana https://t.co/RaSElLKOcw
2022-05-30 05:09:29+00:00,"Need your help...I need my 1st MetaVerse crypto in my portfolio. Which MetaVerse Crypto should I invest in? 

#SANDBOX #THETAUSDT #MANA"
2022-05-30 05:00:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIOBEG https://t.co/aRRvSkyTX0"
2022-05-30 04:50:30+00:00,"Order successful!

LAND Coordinates: [19, -2]
Price: 3.2988 $ETH ($6,196.27 USD = 3.2988 $ETH)

Purchased by https://t.co/u1eaIrerdD from https://t.co/COyyCkl0r1

https://t.co/Kz0Jgopuyg #decentraland #land #parcel #estate #mana https://t.co/zCXt8G6Cnf"
2022-05-30 04:50:22+00:00,"*Very close to city center with road access* was purchased for 3.2988 $ETH ($6,196.27 USD) by https://t.co/WYfv1TWSUJ from https://t.co/K37SuminuE #decentraland #land #parcel #estate #mana https://t.co/jX8WdKdS0Y"
2022-05-30 04:45:06+00:00,"🗡 MANAUSD 15m #MACD Cross Down 📉 - Open (1.021), Close (1.012), High (1.021), Low (1.012), Volume (40671.7) $MANAUSD #MANAUSD $MANA #MANA #decentraland https://t.co/ZJCjHDmnhY"
2022-05-30 04:40:02+00:00,"Top 🔟 GAINING cryptocurrency this hour
1. $MATIC or #MATIC
2. $MANA or #MANA
Show More https://t.co/Wd1UnIOBEG https://t.co/OHZIcY8f3Z"
2022-05-30 04:40:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIOBEG https://t.co/TYrOmIXTzz"
2022-05-30 04:39:02+00:00,20.99% profit of $MANA-USD: My target is to buy MORE #MANA-USD at $0.97 if less than what I bought last time to reduce the impact of volatility on the overall purchase and sell it ALL at $1.228. CLICK https://t.co/zo4bKoppmL to track. #MANAbyTorshis
2022-05-30 04:31:44+00:00,Aldatmasin sizi bitcoin in  yukselisi yakinda gorecektir dibinde de dibini 😉 #Bitcoin #ETH #doge #Mana
2022-05-30 04:22:18+00:00,"[BUY SIGNAL] 🚀
MANAUSDT (1d) Bullish divergence with 3 interval confirmations

$MANA #MANA"
2022-05-30 04:20:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIOBEG https://t.co/EC4rqTWVTA"
2022-05-30 04:19:30+00:00,"#XLM 手放して #MANA 買ってみた

どうなるかな... https://t.co/57BQ4zIvRp"
2022-05-30 04:18:02+00:00,20.39% profit of $MANA-USD: My target is to buy MORE #MANA-USD at $0.978 if less than what I bought last time to reduce the impact of volatility on the overall purchase and sell it ALL at $1.228. CLICK https://t.co/zo4bKoppmL to track. #MANAbyTorshis
2022-05-30 04:16:00+00:00,"A collection of unique NFTs.

https://t.co/vkPoIbggpu

#nft #flow #apecoin #decentraland #MANA #Sandbox #SAND #AXS #THET #STEPN #EnjinCoin #ENJ #GALA #chiliz #CHZ #eth #opensea #nfts #sft https://t.co/RosZffgN0K"
2022-05-30 04:10:55+00:00,"@Z_Humphries #Gala 
#Sandbox
#Enjin
#cardano
#mana"
2022-05-30 04:00:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIOBEG https://t.co/fIfm0EQ0hj"
2022-05-30 03:57:59+00:00,"#まなちゃん が出演なさった
#同學來了 の予告編が公開になっています!!
「《搶先看》女星變身大作戰　一定把妳銷出去| 同學來了2022.05.30」
https://t.co/TjbzWSLu2T

一時帰国前に収録なさったのかな？
まなちゃんの活躍を
みんなで応援しましょうヾ(〃^∇^)ﾉ💗💗💗
#Mana💃@manahello818 
#変身 https://t.co/OtoJu3y0Au"
2022-05-30 03:57:02+00:00,20.16% profit of $MANA-USD: My target is to buy MORE #MANA-USD at $0.98 if less than what I bought last time to reduce the impact of volatility on the overall purchase and sell it ALL at $1.228. CLICK https://t.co/zo4bKoppmL to track. #MANAbyTorshis
2022-05-30 03:52:09+00:00,#mana düşen trend kırılım https://t.co/qBoNrOePAU
2022-05-30 03:40:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIOBEG https://t.co/gBdDLxjCKW"
2022-05-30 03:36:02+00:00,20.51% profit of $MANA-USD: My target is to buy MORE #MANA-USD at $0.976 if less than what I bought last time to reduce the impact of volatility on the overall purchase and sell it ALL at $1.228. CLICK https://t.co/zo4bKoppmL to track. #MANAbyTorshis
2022-05-30 03:31:23+00:00,"#Mana #FF14 #アウラ 
Historia Canopus 日記「アウラの宴！　アウケットVol.4　ManaDC in Hades」 | FINAL FANTASY XIV, The Lodestone https://t.co/DsNPELXoDV"
2022-05-30 03:30:43+00:00,"✓2022年から億り人に？！
✓大流行の仮想通貨メタバース銘柄とは？

#メタバース 
#仮想通貨
#IOST
#MANA
#SAND
#THETA
#AXS
#ENJ
#駆け出しエンジニアと繋がりたい 
#ブログ
#ビットコイン 
#リップル
#XYM

https://t.co/zqjcReAmhG"
2022-05-30 03:26:29+00:00,#MANA 4 saatlik grafikte takip edilmesi gereken kısa düşen ve direnc noktaları. https://t.co/XYRRHUSTbc
2022-05-30 03:20:02+00:00,"Top 🔟 GAINING cryptocurrency this hour
1. $NMR or #NMR
2. $MANA or #MANA
3. $MATIC or #MATIC
Show More https://t.co/Wd1UnIOBEG https://t.co/xxly5n5e97"
2022-05-30 03:20:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIOBEG https://t.co/knYqs4ts2D"
2022-05-30 03:15:02+00:00,20.27% profit of $MANA-USD: My target is to buy MORE #MANA-USD at $0.979 if less than what I bought last time to reduce the impact of volatility on the overall purchase and sell it ALL at $1.228. CLICK https://t.co/zo4bKoppmL to track. #MANAbyTorshis
2022-05-30 03:12:15+00:00,"【FF14RP店,キャスト・スタッフ募集】
個人宅でひっそりとやっていた雑談スペースから
ロスガルとお話するスペースのロスガル喫茶として完全リニューアル！！
キャストやスタッフを募集しています！
#FF14 #Mana #ロスガル #ロスガル喫茶
https://t.co/qvmliKJxuj"
2022-05-30 03:01:05+00:00,"Rafael Martínez de ROCK CIENTO ONCE escribió: ""DR. SHENKA AND FRIENDS EN EL TEATRO METROPOLITAN 2022"".

Nuestra Edición Completa en:
https://t.co/Xokmq6rGTf

#Rock111 #Maná #AQUICUAUTITLANIZCALLI
Rock111 https://t.co/wfSAlZ2prw"
2022-05-30 03:00:03+00:00,"Decentraland (MANA) White Paper 11 - Ödeme Kanalları | Kripto Coin
Detaylar: https://t.co/zSCt0ZLhkR
#decentraland #mana #ödemekanalları"
2022-05-30 03:00:02+00:00,"Top 🔟 GAINING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIOBEG https://t.co/Ki41xQckXC"
2022-05-30 03:00:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIOBEG https://t.co/YCZFX8vDdC"
2022-05-30 02:56:26+00:00,$MANA trade did profit 100.970969% after CoinASTROvip aleerts. #MANA https://t.co/LAfzwjwQza
2022-05-30 02:54:03+00:00,18.99% profit of $MANA-USD: My target is to buy MORE #MANA-USD at $0.995 if less than what I bought last time to reduce the impact of volatility on the overall purchase and sell it ALL at $1.228. CLICK https://t.co/zo4bKoppmL to track. #MANAbyTorshis
2022-05-30 02:42:45+00:00,Massive uptick alert! #Decentraland #mana will probably hit 1.1 within the next 2 hours!
2022-05-30 02:41:46+00:00,"$MANA
✅  Increased 3.52% in 1.1 hour(s)
💵 Price - 1.03120000 USDT
⏱️ [30 May] - 02:41:45 UTC
#MANA #MANAUSDT #CryptoBOT"
2022-05-30 02:40:02+00:00,"Top 🔟 GAINING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIOBEG https://t.co/04R7sTdpUI"
2022-05-30 02:40:00+00:00,"Top 🔟 PERFORMING cryptocurrency this hour
1. $MANA or #MANA
2. $MATIC or #MATIC
3. $NMR or #NMR
Show More https://t.co/Wd1UnIOBEG https://t.co/EatMaFNxcW"
2022-05-30 02:39:52+00:00,"#MANA, 2H,  突破下降楔形. https://t.co/Tco8fLsTK8"
2022-05-30 02:39:29+00:00,"Que RICO ASADO de OSO wuuuu!!!! a 23k 🤣
https://t.co/GzAto5uwIi

#BTC #ETH #LTC #MANA #AVAX  #ROSE #SAND #ATOM #GALA #BABA #SPY #TSLA #AAPL https://t.co/WqFipvaI4u"
