Datetime,sentiment
2022-05-29 06:40:22+00:00,Neutral
2022-05-29 06:40:00+00:00,Positive
2022-05-29 06:38:23+00:00,Neutral
2022-05-29 06:33:19+00:00,Neutral
2022-05-29 06:27:00+00:00,Neutral
2022-05-29 06:20:02+00:00,Positive
2022-05-29 06:20:00+00:00,Positive
2022-05-29 06:17:49+00:00,Neutral
2022-05-29 06:17:46+00:00,Positive
2022-05-29 06:15:52+00:00,Positive
2022-05-29 06:15:35+00:00,Neutral
2022-05-29 06:15:02+00:00,Neutral
2022-05-29 06:14:05+00:00,Neutral
2022-05-29 06:13:58+00:00,Positive
2022-05-29 06:01:45+00:00,Positive
2022-05-29 06:00:00+00:00,Positive
2022-05-29 05:54:02+00:00,Neutral
2022-05-29 05:45:00+00:00,Neutral
2022-05-29 05:43:35+00:00,Neutral
2022-05-29 05:40:08+00:00,Neutral
2022-05-29 05:40:02+00:00,Positive
2022-05-29 05:40:00+00:00,Positive
2022-05-29 05:33:02+00:00,Neutral
2022-05-29 05:28:05+00:00,Neutral
2022-05-29 05:26:31+00:00,Neutral
2022-05-29 05:20:03+00:00,Positive
2022-05-29 05:20:00+00:00,Positive
2022-05-29 05:12:46+00:00,Neutral
2022-05-29 05:12:02+00:00,Neutral
2022-05-29 05:03:46+00:00,Positive
2022-05-29 05:00:52+00:00,Neutral
2022-05-29 05:00:02+00:00,Positive
2022-05-29 05:00:02+00:00,Neutral
2022-05-29 05:00:00+00:00,Positive
2022-05-29 04:40:02+00:00,Positive
2022-05-29 04:40:00+00:00,Positive
2022-05-29 04:36:23+00:00,Neutral
2022-05-29 04:30:29+00:00,Neutral
2022-05-29 04:24:19+00:00,Positive
2022-05-29 04:20:02+00:00,Positive
2022-05-29 04:20:00+00:00,Positive
2022-05-29 04:12:17+00:00,Neutral
2022-05-29 04:09:02+00:00,Neutral
2022-05-29 04:07:41+00:00,Neutral
2022-05-29 04:00:04+00:00,Neutral
2022-05-29 04:00:02+00:00,Positive
2022-05-29 04:00:00+00:00,Positive
2022-05-29 03:48:01+00:00,Neutral
2022-05-29 03:44:01+00:00,Neutral
2022-05-29 03:44:00+00:00,Positive
2022-05-29 03:40:00+00:00,Positive
2022-05-29 03:23:42+00:00,Neutral
2022-05-29 03:20:02+00:00,Positive
2022-05-29 03:20:00+00:00,Positive
2022-05-29 03:18:34+00:00,Positive
2022-05-29 03:18:29+00:00,Neutral
2022-05-29 03:11:38+00:00,Neutral
2022-05-29 03:11:36+00:00,Neutral
2022-05-29 03:06:01+00:00,Neutral
2022-05-29 03:04:21+00:00,Positive
2022-05-29 03:00:45+00:00,Positive
2022-05-29 03:00:00+00:00,Positive
2022-05-29 02:56:06+00:00,Positive
2022-05-29 02:53:19+00:00,Neutral
2022-05-29 02:45:39+00:00,Neutral
2022-05-29 02:40:00+00:00,Positive
2022-05-29 02:24:01+00:00,Neutral
2022-05-29 02:20:00+00:00,Positive
2022-05-29 02:18:01+00:00,Positive
2022-05-29 02:11:11+00:00,Neutral
2022-05-29 02:09:43+00:00,Negative
2022-05-29 02:03:02+00:00,Neutral
2022-05-29 02:00:00+00:00,Positive
2022-05-29 01:57:09+00:00,Positive
2022-05-29 01:42:02+00:00,Neutral
2022-05-29 01:40:00+00:00,Positive
2022-05-29 01:21:43+00:00,Neutral
2022-05-29 01:21:02+00:00,Neutral
2022-05-29 01:20:00+00:00,Positive
2022-05-29 01:15:11+00:00,Neutral
2022-05-29 01:15:08+00:00,Neutral
2022-05-29 01:13:34+00:00,Neutral
2022-05-29 01:00:00+00:00,Positive
2022-05-29 00:45:03+00:00,Neutral
2022-05-29 00:40:00+00:00,Positive
2022-05-29 00:33:28+00:00,Neutral
2022-05-29 00:30:07+00:00,Neutral
2022-05-29 00:23:21+00:00,Neutral
2022-05-29 00:21:20+00:00,Neutral
2022-05-29 00:20:32+00:00,Neutral
2022-05-29 00:20:00+00:00,Positive
2022-05-29 00:18:02+00:00,Neutral
2022-05-29 00:12:58+00:00,Positive
2022-05-29 00:12:53+00:00,Neutral
2022-05-29 00:06:16+00:00,Neutral
2022-05-29 00:05:35+00:00,Neutral
2022-05-29 00:03:21+00:00,Negative
2022-05-29 00:00:02+00:00,Positive
2022-05-29 00:00:00+00:00,Positive
2022-05-28 23:57:02+00:00,Neutral
2022-05-28 23:42:29+00:00,Positive
2022-05-28 23:40:02+00:00,Positive
2022-05-28 23:40:00+00:00,Positive
2022-05-28 23:30:03+00:00,Neutral
2022-05-28 23:20:02+00:00,Positive
2022-05-28 23:20:00+00:00,Positive
2022-05-28 23:18:32+00:00,Neutral
2022-05-28 23:15:03+00:00,Neutral
2022-05-28 23:15:02+00:00,Neutral
2022-05-28 23:03:17+00:00,Positive
2022-05-28 23:03:02+00:00,Neutral
2022-05-28 23:00:04+00:00,Neutral
2022-05-28 23:00:02+00:00,Positive
2022-05-28 23:00:00+00:00,Positive
2022-05-28 22:45:54+00:00,Neutral
2022-05-28 22:43:01+00:00,Negative
2022-05-28 22:42:59+00:00,Neutral
2022-05-28 22:40:02+00:00,Positive
2022-05-28 22:40:00+00:00,Positive
2022-05-28 22:36:55+00:00,Neutral
2022-05-28 22:35:26+00:00,Positive
2022-05-28 22:22:14+00:00,Neutral
2022-05-28 22:20:02+00:00,Positive
2022-05-28 22:20:01+00:00,Positive
2022-05-28 22:12:02+00:00,Neutral
2022-05-28 22:09:41+00:00,Neutral
2022-05-28 22:08:54+00:00,Positive
2022-05-28 22:08:26+00:00,Neutral
2022-05-28 22:07:38+00:00,Neutral
2022-05-28 22:07:37+00:00,Positive
2022-05-28 22:01:53+00:00,Positive
2022-05-28 22:00:05+00:00,Neutral
2022-05-28 22:00:04+00:00,Neutral
2022-05-28 22:00:01+00:00,Positive
2022-05-28 21:57:50+00:00,Neutral
2022-05-28 21:51:02+00:00,Neutral
2022-05-28 21:40:02+00:00,Positive
2022-05-28 21:40:00+00:00,Positive
2022-05-28 21:34:51+00:00,Neutral
2022-05-28 21:34:09+00:00,Positive
2022-05-28 21:20:02+00:00,Positive
2022-05-28 21:20:00+00:00,Positive
2022-05-28 21:14:04+00:00,Positive
2022-05-28 21:09:34+00:00,Neutral
2022-05-28 21:02:52+00:00,Neutral
2022-05-28 21:00:02+00:00,Positive
2022-05-28 21:00:00+00:00,Positive
2022-05-28 20:54:14+00:00,Neutral
2022-05-28 20:40:02+00:00,Positive
2022-05-28 20:40:00+00:00,Positive
2022-05-28 20:38:45+00:00,Neutral
2022-05-28 20:20:02+00:00,Positive
2022-05-28 20:20:00+00:00,Positive
2022-05-28 20:17:49+00:00,Neutral
2022-05-28 20:11:12+00:00,Neutral
2022-05-28 20:06:02+00:00,Neutral
2022-05-28 20:00:02+00:00,Positive
2022-05-28 20:00:00+00:00,Positive
2022-05-28 19:59:59+00:00,Neutral
2022-05-28 19:59:31+00:00,Neutral
2022-05-28 19:50:17+00:00,Neutral
2022-05-28 19:45:03+00:00,Neutral
2022-05-28 19:45:03+00:00,Neutral
2022-05-28 19:44:10+00:00,Neutral
2022-05-28 19:40:02+00:00,Positive
2022-05-28 19:40:00+00:00,Positive
2022-05-28 19:24:02+00:00,Neutral
2022-05-28 19:20:02+00:00,Positive
2022-05-28 19:20:00+00:00,Positive
2022-05-28 19:00:02+00:00,Positive
2022-05-28 19:00:00+00:00,Positive
2022-05-28 18:40:02+00:00,Positive
2022-05-28 18:40:00+00:00,Positive
2022-05-28 18:31:27+00:00,Positive
2022-05-28 18:20:00+00:00,Positive
2022-05-28 18:10:47+00:00,Neutral
2022-05-28 18:00:00+00:00,Positive
2022-05-28 17:54:39+00:00,Neutral
2022-05-28 17:47:50+00:00,Positive
2022-05-28 17:40:00+00:00,Positive
2022-05-28 17:39:03+00:00,Neutral
